City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,clyde river,70.4692,-68.5914,-12.87,72,75,2.57,CA,1678106236
337,loutros,40.5883,22.3994,17.89,58,26,3.11,GR,1678106598
338,samarai,-10.6167,150.6667,27.04,80,14,2.31,PG,1678106804
339,kalabo,-14.97,22.6814,31.73,41,93,3.17,ZM,1678106599
340,pisco,-13.7,-76.2167,23.34,88,97,1.54,PE,1678106805
341,cloquet,46.7216,-92.4594,-0.34,95,100,4.63,US,1678106600
342,tucuman,-26.8241,-65.2226,27.0,69,40,0.0,AR,1678106374
343,novyy urengoy,66.0833,76.6333,-20.84,100,89,3.3,RU,1678106601
344,talaya,61.3833,152.75,-29.86,99,100,0.75,RU,1678106601
345,iskateley,67.6803,53.1512,-20.56,93,96,3.13,RU,1678106806
346,jining,35.405,116.5814,16.84,44,31,3.31,CN,1678106252
347,garowe,8.4054,48.4845,32.7,20,1,7.15,SO,1678106807
348,caimito,8.8123,-75.4107,24.42,76,40,2.54,CO,1678106602
349,tigzirt,36.8886,4.1198,15.58,67,56,7.84,DZ,1678106603
350,lalitpur,27.6667,85.3333,19.21,59,20,4.63,NP,1678106604
351,salym,60.0625,71.4789,-3.22,98,100,2.08,RU,1678106604
352,road town,18.4167,-64.6167,26.05,78,75,2.57,VG,1678106605
353,mogadishu,2.0371,45.3438,28.93,79,0,8.23,SO,1678106605
354,mollendo,-17.0231,-72.0147,23.49,79,100,1.71,PE,1678106606
355,constitucion,-35.3333,-72.4167,17.23,74,13,1.13,CL,1678106809
356,impfondo,1.6381,18.0667,40.33,20,99,1.74,CG,1678106606
357,pimentel,-6.8367,-79.9342,23.16,83,20,2.57,PE,1678106607
358,westport,41.1415,-73.3579,5.42,78,0,2.24,US,1678106216
359,tabas,33.5959,56.9244,26.23,14,0,1.66,IR,1678106608
360,tukrah,32.5341,20.5791,16.81,54,4,5.69,LY,1678106608
361,tuatapere,-46.1333,167.6833,9.05,93,22,1.84,NZ,1678106810
362,dingle,10.9995,122.6711,23.83,84,27,4.45,PH,1678106263
363,mao,39.8885,4.2658,14.31,67,20,5.14,ES,1678106609
